Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T01:14:19.499078', 'src_ip': '40.74.250.23', 'payload_printable': '"GET / HTTP/1.0" 200 -'}
{'timestamp': '2024-11-24T01:14:19.710118', 'src_ip': '40.74.250.23', 'payload_printable': '"OPTIONS / HTTP/1.0" - -'}
{'timestamp': '2024-11-24T01:14:19.921805', 'src_ip': '40.74.250.23', 'payload_printable': '"GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-26T01:28:07.961563', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.961933', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.962305', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.962677', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.962969', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.963244', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.963524', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.963823', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.964085', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.964381', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.964674', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.964940', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.965436', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.965774', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.966180', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.966597', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.966984', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.967284', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.967758', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.968154', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.968685', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.968954', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.969220', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.969550', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.969839', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.970142', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.970510', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.970814', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.971086', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.971383', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.971697', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
